Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Veritatis a omnis.,2023-09-16,2023-10-16,Dignissimos voluptatem in vero. Quae at ullam tempore.,Gestion de Proyectos|Etica en Tecnologia|Sistemas Operativos,"9000036-3|Lic. Amador Valdes|carlosreyes@example.org, 9000280-K|Carla Elisa Mata|tellodulce-maria@example.org, 9000088-6|Sara Ursula Tafoya Aguilera|wilfrido12@example.com","9000009-8|Ing. Yolanda Moreno|osorioalma@example.com, 9000189-1|Maria del Carmen Vazquez Escobedo|salma78@example.org, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org",13|74|3,Quod nesciunt culpa cum iure illo modi.|Iste iure sequi at rem esse provident nobis.|Saepe eveniet at dolorum explicabo maiores perspiciatis ea.
Adipisci illo iste quibusdam.,2024-05-03,2024-07-01,Iure rem consequuntur accusamus. Consectetur reprehenderit fuga occaecati officia.,Etica en Tecnologia|Data Warehousing,"9000294-0|Samuel Ybarra|octavioolivares@example.com, 9000243-3|Diego Mercado Patino|gabrielacrespo@example.net","9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net, 9000183-0|Hermelinda Carlos Arreola|lourdesreyna@example.org, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com",89|98|38,Sunt laboriosam assumenda fugit in odit reiciendis dolorum voluptatibus molestiae accusantium.|Quos facere molestias laborum totam magnam harum debitis eum dolor.|Animi voluptatibus minus quisquam voluptatum voluptate aut omnis eaque.
Quisquam veniam nemo voluptatem.,2023-12-25,2024-02-14,Vel voluptatibus cupiditate dolores et qui. Totam adipisci praesentium veniam natus natus. Saepe repellat voluptas molestiae cupiditate.,Tecnologias Moviles|Gestion de Proyectos|Etica en Tecnologia,9000114-3|Federico Rivera|bmiramontes@example.com,"9000257-K|Estefania Cecilia Romo|maria-elenazelaya@example.com, 9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000246-3|Reina Lorena Angulo|strejo@example.net",8|64|82,Dicta consectetur quaerat ullam sapiente eum accusantium nesciunt totam quo sed similique vero.|Provident optio nesciunt excepturi eum voluptate quasi ipsa odit laborum.|Cupiditate voluptas possimus ut ratione dolore nihil cupiditate esse porro.
Debitis a praesentium nemo.,2023-05-19,2023-07-11,Delectus et repellat. Dolore natus vel consequuntur quia dolores voluptatem cumque. Reprehenderit pariatur quas excepturi.,Bases de Datos|Blockchain,"9000106-K|Mario Lorenzo Espinal|calderonvictoria@example.com, 9000235-K|Magdalena Medrano Zayas|aldonza13@example.net","9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com",55|22|93,Ipsa in cumque impedit sunt expedita fugiat repudiandae ratione neque.|Cum asperiores sapiente eos eum veritatis asperiores cumque.|Cum asperiores velit voluptatem excepturi voluptates tempora provident inventore officiis.
Suscipit culpa aut dignissimos deleniti possimus quam quas.,2024-07-13,2024-09-03,Error atque hic mollitia laudantium. Facere incidunt eos.,Redes Neuronales|Arquitectura de Computadores|Interaccion Humano Computador,"9000195-8|Pablo Roybal|isabela88@example.com, 9000286-6|Camila Maria Teresa Carvajal|modestolovato@example.net, 9000116-8|Ing. Alejandra Jimenez|del-riomariano@example.net","9000227-3|Trinidad Delia Rivera Roque|celiabarajas@example.net, 9000167-9|Ernesto Lira|hfeliciano@example.org, 9000183-0|Hermelinda Carlos Arreola|lourdesreyna@example.org",11|35|57,Mollitia sapiente repellendus in modi sint labore sunt.|Error hic sequi alias necessitatibus maxime nemo voluptatem corporis veniam ipsum veniam.|Voluptas repellat commodi incidunt voluptates ipsa voluptatum occaecati.
Ducimus tenetur totam architecto harum id eveniet eius.,2023-06-27,2023-07-27,Ratione numquam minima. Beatae corrupti necessitatibus nesciunt vitae aut. Natus aut enim modi.,Analisis Forense Digital,"9000211-7|Mtro. Carmen Salas|alcalarenato@example.com, 9000297-7|Teresa Maria Luisa Corral Puga|octaviojiminez@example.net, 9000132-2|Gregorio Arcelia Gonzales|olivaresgerman@example.com","9000206-K|Dr. Oswaldo Archuleta|lorenadel-valle@example.org, 9000276-7|Maria Cristina de Leon Rael|mayayeni@example.com, 9000085-3|Rodolfo Cisneros Montez|vanesa62@example.net",62|27|45,Consequatur voluptate ipsam repudiandae earum impedit officia deleniti.|Totam illum laborum maxime fugiat animi recusandae aperiam.|Illo quos minima necessitatibus cupiditate soluta dicta animi alias amet facere dicta.
Reprehenderit magnam odio commodi adipisci fuga.,2024-09-21,2024-11-17,Officia nobis ab dolorum. Quae quae eius tempora sed. Dolorum iure perspiciatis repudiandae id aut maiores.,DevOps|Arquitectura de Computadores,"9000265-3|Cristian Gallegos|pedrozalorenzo@example.com, 9000117-4|Mtro. Olga Sanchez|daniel47@example.com, 9000059-1|Natalia Salvador Amador|violetatrejo@example.com","9000260-0|Yolanda Cadena|clararomero@example.com, 9000011-9|Nancy Najera|naranjohoracio@example.org, 9000078-K|Tania Alta  Gracia Bustos|jose-manuelperea@example.com",30|92|52,Quam omnis voluptatum ea in harum alias.|Repellendus exercitationem quae placeat odit labore velit facere error cumque omnis nam eos.|Consectetur ea repellat quis delectus perspiciatis excepturi at explicabo quia esse ratione.
Fuga nesciunt iure blanditiis amet odio.,2025-03-16,2025-04-01,"Quos quod consectetur inventore inventore inventore labore. Alias dicta fuga.
Quidem minus accusantium a quasi dolorem.",Analisis de Algoritmos|Analisis Forense Digital,"9000074-5|Rufino Nancy Chacon|leallinda@example.com, 9000239-2|Alvaro Matias|yolivarez@example.net, 9000229-0|Graciela Pacheco|renteriaaugusto@example.com","9000157-0|Concepcion Ruben Acevedo Lebron|catalinatoledo@example.com, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net, 9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org",28|51|88,Accusantium dolore voluptates distinctio accusantium magnam commodi quae recusandae fugiat odit.|Numquam nisi aliquid autem saepe aliquid blanditiis ipsam commodi dolorum praesentium dignissimos.|Ab in aut maxime numquam praesentium in tempore maiores nulla eligendi quos libero non.
Rerum voluptate facere illum cum.,2023-08-13,2023-09-25,"Facere perspiciatis incidunt blanditiis sed.
Sequi optio cupiditate.",Criptografia,"9000280-K|Carla Elisa Mata|tellodulce-maria@example.org, 9000074-5|Rufino Nancy Chacon|leallinda@example.com, 9000247-1|Aurora Gustavo Mena|mdel-rio@example.org","9000271-2|Cristobal Leticia Sandoval Marquez|lucerojose-carlos@example.net, 9000213-3|Tomas Antonia Rascon Robledo|carolina89@example.org, 9000037-5|Sr(a). Amalia Arellano|isabelarojo@example.net",95|70|42,Impedit nihil rem perspiciatis debitis fugit facere.|Similique sunt quas tempora laboriosam laborum.|Ipsam aperiam omnis accusamus sit minima quia quam dolore veritatis sit.
Minima praesentium atque optio dolorum exercitationem perspiciatis.,2023-04-12,2023-04-30,Saepe nam voluptates amet. Magni iusto libero cumque. Eum ex eius magni mollitia fugiat repellendus.,Visualizacion de Datos|Compiladores,"9000165-K|Concepcion Vanesa Adame|pizarroestefania@example.org, 9000140-7|Leticia Pascual Abrego Maestas|enrique69@example.net","9000237-3|Maria Luisa Bernal Marroquin|zvela@example.net, 9000070-K|Jacinto Mercedes Espinosa|citlalicorrea@example.org, 9000002-0|Mtro. Leonel Martinez|felix10@example.net",15|95|68,Recusandae vitae odit tempora natus omnis itaque.|Facilis amet dolore iste nam nulla labore omnis quaerat beatae.|A explicabo odio reiciendis molestias fugiat autem tempore.
Consequuntur quaerat quam autem nostrum deleniti ut.,2023-11-26,2024-01-13,Itaque quos quaerat autem impedit. Commodi tempora itaque nihil magnam vitae a quasi. Vel saepe laboriosam magni ullam debitis neque.,Computacion en la Nube|Algoritmos|Sistemas Operativos,"9000265-3|Cristian Gallegos|pedrozalorenzo@example.com, 9000084-8|Teodoro Hernandez|qherrera@example.org","9000250-6|Marcos Olvera|eduardo77@example.com, 9000258-K|Blanca Limon|qsoto@example.com, 9000070-K|Jacinto Mercedes Espinosa|citlalicorrea@example.org",37|29|46,Rem consequuntur nobis suscipit maiores sapiente molestias et qui mollitia dolor.|Numquam enim exercitationem perferendis voluptatem officiis vero magnam.|Quae quis natus nesciunt velit quae perferendis tempora modi soluta.
Repellat minima ad corporis pariatur dicta.,2024-10-10,2024-10-11,Placeat corporis aperiam quos dignissimos. Adipisci repellendus aut sint qui sint quia.,Criptografia,"9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com, 9000185-9|Ana Maria de Anda|yacevedo@example.com, 9000265-3|Cristian Gallegos|pedrozalorenzo@example.com","9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com, 9000186-1|Maria Elena Leonor Pelayo Cadena|luis54@example.com, 9000031-2|Maria Elena Centeno Serna|kreyes@example.org",37|89|16,Quidem molestias nobis quod vitae eos debitis placeat deleniti cupiditate.|Blanditiis aliquam eius eaque cum sapiente ab iure vel aliquam ut nisi.|Nulla optio laudantium nemo facere quos et dolore delectus architecto magnam impedit modi at.
Sunt optio ex eos veniam.,2023-10-29,2023-12-24,Ab aperiam perferendis quo sint incidunt aut. Repudiandae soluta qui ipsa repellendus asperiores placeat. Itaque ex assumenda.,Analisis Forense Digital|Ingenieria de Requisitos|Desarrollo Web,9000179-1|Mtro. Santiago Garcia|riverahermelinda@example.net,"9000250-6|Marcos Olvera|eduardo77@example.com, 9000267-8|Ing. Juan Ortega|clemente40@example.com, 9000281-8|Ramiro Georgina Chapa Cardona|federicoarteaga@example.net",56|43|23,Harum occaecati inventore accusantium perferendis modi odit nulla quidem nesciunt praesentium.|Facere magnam enim placeat non eligendi.|Fugit reprehenderit adipisci culpa dolore quia reiciendis sed eos odio error.
Vero accusamus soluta consequuntur aliquam nemo.,2023-08-05,2023-09-30,Eius facere perspiciatis ex laboriosam ipsum. Laborum autem officia aspernatur eligendi.,Ingenieria de Software,"9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org, 9000119-6|Camila Teran Jaramillo|bruno46@example.org","9000054-K|Laura Santiago Reyna|esmeraldavergara@example.com, 9000061-K|Mateo Feliciano|ines40@example.org, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net",73|80|87,Hic tempora nihil similique consequatur magnam at facilis ab dolores.|Placeat quidem consequuntur culpa necessitatibus natus sit corporis quasi vel aliquam quis doloremqu|Fuga aliquam dignissimos tenetur facere iusto iste aliquid voluptatem.
Aut voluptas odio earum quia neque.,2023-04-29,2023-05-09,Fugiat fugiat nesciunt tempore. Maxime fugiat tenetur maiores. Repellendus exercitationem recusandae suscipit ab sunt.,Big Data,"9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com, 9000253-6|Carolina Victoria Roldan|gabinosuarez@example.net, 9000233-3|Sonia Velasquez|juan-carlossaldana@example.com","9000237-3|Maria Luisa Bernal Marroquin|zvela@example.net, 9000277-8|Lic. Zacarias Manzanares|ortizflorencia@example.org, 9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com",77|76|79,Aliquam nemo cum occaecati aliquam nemo animi ea debitis.|Nobis natus accusantium quaerat optio eligendi assumenda ipsum voluptatibus sint cupiditate.|Nobis recusandae reprehenderit delectus optio eaque quam exercitationem iste nihil dolorem.
Consequatur accusantium minima tenetur placeat repudiandae.,2024-01-24,2024-02-27,Quisquam tenetur assumenda nisi molestiae ducimus a. Neque blanditiis ab.,Analisis de Vulnerabilidades,"9000044-9|Irene Camilo Paez Serrano|torresmaria-teresa@example.com, 9000100-4|Lucas Isabela Mayorga Cantu|isaacpatino@example.net","9000076-K|Sessa Manuel Laureano Baez|palominojose@example.net, 9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000209-7|Veronica Josefina Najera|cvalverde@example.net",72|79|7,Mollitia ducimus esse exercitationem provident quasi sequi omnis quibusdam ipsum praesentium cum dol|Ratione reiciendis nostrum placeat amet harum odio rem reprehenderit iusto nobis.|Aperiam dolore aspernatur alias fugit voluptates nostrum.
Enim vitae animi quo cupiditate laudantium ab.,2024-11-30,2024-12-14,Deserunt quos magni praesentium nostrum. Facere omnis voluptate. Voluptatum quod explicabo hic.,Ingenieria del Conocimiento|Desarrollo Web|Analisis Forense Digital,"9000043-5|Mtro. Alfonso Cardona|umontano@example.com, 9000219-8|Lic. Cristobal Roldan|whuerta@example.org, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000113-2|Veronica Bustamante Villegas|lrios@example.net, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com, 9000163-K|Lucas Mireles|mesaandres@example.com",70|9|20,Quidem vero itaque itaque nesciunt ad blanditiis architecto odio.|Perspiciatis dolorem et veritatis maxime ab rerum dolorum.|Id quibusdam exercitationem mollitia debitis et dolor.
Eaque veniam placeat tenetur libero dicta quasi.,2023-05-07,2023-06-05,Dolorem rerum saepe explicabo quod. Ullam perferendis optio nostrum.,Blockchain,"9000123-3|Linda Maximiliano Rodriquez Guerrero|jurena@example.com, 9000016-3|Mercedes Anaya|qmiramontes@example.net, 9000081-9|Dalia Jose Eduardo Mota Fuentes|vicente19@example.net","9000175-9|Alicia Indira Camacho|clemente20@example.com, 9000278-1|Mtro. Armando Pineda|posadasalvador@example.org, 9000250-6|Marcos Olvera|eduardo77@example.com",89|58|9,Expedita similique quod itaque blanditiis maxime et ab perferendis fugit aut facere.|Deleniti ea earum vero exercitationem delectus incidunt in quibusdam.|Sequi eius debitis consectetur nemo dolorem aut earum doloremque inventore.
Deserunt reiciendis qui labore ab in.,2024-02-01,2024-03-10,Maxime quam quos error natus necessitatibus id porro. Dolor ducimus saepe atque.,Ciberseguridad|Ingenieria de Software|Computacion Cuantica,"9000243-3|Diego Mercado Patino|gabrielacrespo@example.net, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net, 9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org","9000293-6|Ing. Eloy Vega|danielmenchaca@example.net, 9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org, 9000236-7|Mariano Quintanilla Madrigal|rosa05@example.net",34|18|9,Enim occaecati corporis cumque repellat excepturi occaecati nemo sed architecto cum dolorem et.|Quae non hic suscipit quos vel quibusdam maxime ipsum.|Delectus ad quas optio velit praesentium aspernatur cumque.
Atque vel labore amet.,2023-04-12,2023-06-02,Quisquam assumenda ea culpa omnis suscipit est. Qui ipsam consectetur minima cupiditate. Optio similique eveniet.,Mineria de Datos,"9000292-2|Rocio Juana Nieto Cardenas|marianaalvarado@example.net, 9000152-1|Pablo Trevino|micaelagaona@example.com","9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org, 9000038-1|Gregorio Carrero|ualonso@example.org, 9000161-8|Minerva Ilse Rosado|rafael44@example.org",88|38|89,Repellendus sed exercitationem iusto ab ullam veniam labore ab inventore eos doloremque.|Molestias deleniti sunt ipsa dolorum quaerat.|Repudiandae dolore aspernatur numquam maxime reiciendis nostrum possimus earum officiis.
Repellat impedit sequi delectus enim odio nulla.,2023-10-20,2023-11-24,Laudantium eum corrupti voluptas ad voluptas eligendi commodi. Quas doloremque corrupti laudantium exercitationem est.,Arquitectura de Computadores|Testing de Software,"9000177-7|German Duran|fsalazar@example.com, 9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net","9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000234-4|Sergio Luna|natividad88@example.com, 9000167-9|Ernesto Lira|hfeliciano@example.org",77|32|3,Dicta quasi atque pariatur dignissimos harum.|Vel culpa quas quia mollitia commodi laboriosam error facere.|Sint dolor beatae odio eveniet cumque.
Nesciunt id doloribus voluptas neque.,2023-11-02,2023-12-16,Culpa quo dolorum libero placeat excepturi voluptas quis. Animi officia praesentium recusandae. Laborum et nam officia.,Ciberseguridad,"9000121-6|Salma Gabino Armas Rico|ochoaarcelia@example.net, 9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com, 9000296-4|Camilo Cintron|archuletahernan@example.com","9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000163-K|Lucas Mireles|mesaandres@example.com, 9000267-8|Ing. Juan Ortega|clemente40@example.com",66|83|56,Facilis a odit fugiat delectus accusantium sequi quod dolores quam omnis molestiae.|Deleniti placeat quisquam culpa eligendi illum eum atque omnis aliquam.|Debitis adipisci autem deleniti adipisci odit harum.
Minima praesentium ducimus facilis non architecto ut.,2024-07-02,2024-07-30,Unde rerum iusto odit facere quia tempora. Recusandae animi nulla minus quasi rerum.,Computacion en la Nube|Sistemas Distribuidos,"9000239-2|Alvaro Matias|yolivarez@example.net, 9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com, 9000123-3|Linda Maximiliano Rodriquez Guerrero|jurena@example.com","9000112-4|Magdalena Nadia Baca|sisneroscristian@example.com, 9000018-8|Luis Manuel Cervantes Jaime|karina50@example.com, 9000077-4|Carlos Elvira Chavez|miguelalvarez@example.com",41|85|13,Perferendis praesentium incidunt aut recusandae mollitia magnam omnis modi nobis.|Temporibus mollitia voluptatum sapiente impedit odio repudiandae eum dolores molestias.|Quisquam unde ducimus vitae ipsum id quas voluptatem nisi maxime.
Ab voluptates dolor et quo.,2024-03-14,2024-04-10,Maiores necessitatibus nemo atque itaque culpa eaque. Dolorum ducimus error necessitatibus necessitatibus dolor aspernatur eveniet.,DevOps,"9000014-0|Miguel Angel Alejandro Castro|benito71@example.net, 9000152-1|Pablo Trevino|micaelagaona@example.com, 9000164-4|Hector Villalobos|kmagana@example.net","9000160-2|Camilo Florez|gbustos@example.com, 9000060-0|Luis Cardenas|equiroz@example.org, 9000290-6|Dr. Ramiro Melendez|ysotelo@example.com",11|40|32,Ut blanditiis quo quibusdam sed ut odio odio amet minima eum.|Corrupti magnam dolore amet quasi hic ipsum nisi magnam dolore enim hic consequatur.|Labore quia molestias ea id ipsa praesentium.
Laboriosam dicta hic necessitatibus.,2025-03-15,2025-04-10,Culpa quas assumenda qui doloribus numquam. Sit reprehenderit accusamus possimus.,Gestion de Proyectos|Analisis de Vulnerabilidades,"9000130-2|Alberto Laureano Guevara|claracanales@example.net, 9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000203-3|Dr. Cristobal Marquez|uriaslorenzo@example.org","9000051-1|Rebeca Valenzuela Esquivel|perla41@example.com, 9000186-1|Maria Elena Leonor Pelayo Cadena|luis54@example.com, 9000011-9|Nancy Najera|naranjohoracio@example.org",66|46|79,Aliquam cumque eligendi ratione nulla amet omnis ab harum earum sequi optio.|Accusantium sint officiis doloremque fugit voluptate aut.|Laborum nisi at dicta vitae natus quae aliquam ullam esse.
Hic culpa expedita explicabo numquam doloremque voluptatem.,2025-02-23,2025-04-13,Repellat numquam soluta tempora repellendus. Velit veniam dolorem. Tempore omnis assumenda fugit vero nostrum.,Computacion Cuantica|Realidad Virtual,9000201-3|Esperanza Esparta Alva Espinoza|rmendez@example.org,"9000227-3|Trinidad Delia Rivera Roque|celiabarajas@example.net, 9000160-2|Camilo Florez|gbustos@example.com, 9000019-9|Lic. Ofelia Berrios|vmarin@example.com",36|56|89,Quas quisquam sunt impedit illum ipsam ut.|Corrupti deleniti consectetur ad voluptates nulla non nostrum nisi.|Porro facere porro labore magnam non quae fugiat.
Laudantium consequuntur deserunt adipisci quisquam accusamus.,2024-12-13,2025-01-23,Dolore perferendis dicta dignissimos debitis veritatis. Sint laudantium eveniet itaque doloribus illo.,Gestion de Proyectos|Redes,"9000142-4|Noelia Wilfrido Meza Caban|zacariasmarin@example.org, 9000021-8|Sr(a). Antonia Terrazas|natividadjaimes@example.org, 9000210-8|Sr(a). Jeronimo Garrido|arevaloalta-gracia@example.org","9000031-2|Maria Elena Centeno Serna|kreyes@example.org, 9000196-2|Raul Emiliano Barrientos|rodrigogalvez@example.org, 9000018-8|Luis Manuel Cervantes Jaime|karina50@example.com",11|28|14,Maxime iste repudiandae aliquam voluptatum maxime.|Voluptates aliquam harum quisquam vitae deleniti ipsa sunt quo enim cumque.|Nostrum amet maxime consequuntur rerum iste quam beatae quod.
